YEAR,DOY,HOUR,MINUTE,SECOND,SPACECRAFT,PLANET_NUMBER,RESPONSE,L_OR_M_MODE,SAVE_PLOT,FIT,ITERATIONS,CHANNELS_CUPA,CHANNELS_CUPB,CHANNELS_CUPC,CHANNELS_CUPD,VARY_V1,VARY_V2,VARY_V3,VARY_DENSITY,VARY_TEMPERATURE,ANALYTICAL_VPHI,V1,V2,V3,COMMON_TEMPERATURE,DELAMERE_COMPOSITION,SPECIES_1,SPECIES_1_A,SPECIES_1_Z,SPECIES_1_N,SPECIES_1_T,SPECIES_2,SPECIES_2_A,SPECIES_2_Z,SPECIES_2_N,SPECIES_2_T,SPECIES_3,SPECIES_3_A,SPECIES_3_Z,SPECIES_3_N,SPECIES_3_T,SPECIES_4,SPECIES_4_A,SPECIES_4_Z,SPECIES_4_N,SPECIES_4_T,SPECIES_5,SPECIES_5_A,SPECIES_5_Z,SPECIES_5_N,SPECIES_5_T,SPECIES_6,SPECIES_6_A,SPECIES_6_Z,SPECIES_6_N,SPECIES_6_T,SPECIES_7,SPECIES_7_A,SPECIES_7_Z,SPECIES_7_N,SPECIES_7_T,SPECIES_8,SPECIES_8_A,SPECIES_8_Z,SPECIES_8_N,SPECIES_8_T
1979,189,19,26,34,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-47.65000153,210,15.80000019,424.0322266,1,4,16,1,0.064984769,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.189999998,65,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,19,39,22,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-47.65000153,220,15.80000019,564.2573853,1,4,16,1,0.072170392,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.159999996,75,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,19,40,58,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-47.65000153,193,15.80000019,345.5816956,1,4,16,1,0.062441316,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.159999996,75,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,19,42,34,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-47.65000153,193,15.80000019,365.2845154,1,4,16,1,0.063651353,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.150000006,65,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,19,44,10,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-47.65000153,190,15.80000019,342.9377441,1,4,16,1,0.144722849,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.140000001,65,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,19,45,46,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-47.65000153,190,15.80000019,348.0419006,1,4,16,1,0.145388335,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0,30,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,19,48,58,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-47.65000153,195,15.80000019,549.9175415,1,4,16,1,0.072840773,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.200000003,45,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,19,50,34,2,5,1,1,0,1,10,0,0,0,30125,0,1,0,0,0,0,-47.65000153,211.2802277,15.80000019,0,1,4,16,1,0,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.129999995,30,4,23,1,0.159999996,0,1,16,1,0,900
1979,189,19,55,22,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-47.65000153,183,15.80000019,450.3314819,1,4,16,1,0.093741827,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.180000007,70,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,19,56,58,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-47.65000153,205,15.80000019,380.6916199,1,4,16,1,0.059884518,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.180000007,70,4,23,1,0.159999996,0,1,16,1,0.200000003,900
